"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","ChemblClass","Novelty","Target Family","Function","GrantCount","R01Count","PatentCount","AntibodyCount","PubmedCount","PMIDs"
/idg/targets/Q99788,Q99788,CMKLR1,"Chemokine-like receptor 1","Receptor for the chemoattractant adipokine chemerin/RARRES2 and for the omega-3 fatty acid derived molecule resolvin E1. Interaction with RARRES2 induces activation of intracellular signaling molecules, such as SKY, MAPK1/3 (ERK1/2), MAPK14/P38MAPK and PI3K leading to multifunctional effects, like, reduction of immune responses, enhancing of adipogenesis and angionesis. Resolvin E1 down-regulates cytokine production in macrophages by reducing the activation of MAPK1/3 (ERK1/2) and NF-kappa-B. Positively regulates adipogenesis and adipocyte metabolism. Acts as a coreceptor for several SIV strains (SIVMAC316, SIVMAC239, SIVMACL7E-FR and SIVSM62A), as well as a primary HIV-1 strain (92UG024-2).",Tchem,"Chemerin receptor","immunoglobulin receptor superfamily",,-2.0999339772854184,GPCR,,32,19,25942,343,,32.45164805143126,25637017|25627894|25539827|25121101|25079809|25030943|24927181|24779513|24709693|24689495|24659779|23999103|23904282|23495698|23469143|22768214|22688191|22610747|21959042|21715684|21483023|21346723|21192818|20932654|20379614|20237496|20044979|19906641|19443732|19168032|18564921|18242188|16904155|16863918|16541075|16344560|15753205|15728234|15489334|15342556|14759258|14702039|14675762|14530373|12477932|9603476|9425281|9144535|8976386
/idg/targets/Q14833,Q14833,GRM4,"Metabotropic glutamate receptor 4","G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling inhibits adenylate cyclase activity.",Tchem,"Metabotropic glutamate receptor",receptor,,-2.3248460617066606,GPCR,,59,25,15844,140,,37.99552362913981,25342125|24984297|24925192|24840839|23727862|20859245|20826542|20338729|20201926|19351574|19328558|19156168|19086053|17884634|16899734|16582932|16380905|16344560|15867225|15217955|15184361|15102938|14702039|14574404|12477932|11943148|11847215|11801738|11525421|10828590|10779504|9473604|8889548|8863838|8824806|8738157|7617140
/idg/targets/Q14832,Q14832,GRM3,"Metabotropic glutamate receptor 3","G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling inhibits adenylate cyclase activity.",Tchem,"Metabotropic glutamate receptor",receptor,,-2.2907402179203733,GPCR,,91,49,13501,254,,34.221231773166025,26187343|26071318|25914064|25209194|25198581|25150943|25096017|25056061|24949866|24682224|24680030|24585043|24498053|24291464|24080311|23575746|23382691|23307741|23175182|22909248|22479309|22022368|21946352|21881873|21344500|21173788|21041608|20957330|20638435|20628086|20379614|20132315|19913121|19482054|19439994|19403271|19386277|19367581|19328558|19156168|19125103|19086053|18853337|18614340|18583979|18541626|18412850|18256595|18197082|18075480|17948896|17684500|17636131|17531207|17006672|16904291|16585454|16417579|16380905|15913960|15892884|15652990|15567072|15489334|15310849|15246118|15178451|15158450|14663150|12853948|12786977|12782962|12690205|12477932|11891216|11850456|11535235|11500049|11342382|8887960|8840013|8824806
/idg/targets/P28336,P28336,NMBR,"Neuromedin-B receptor","Receptor for neuromedin-B.",Tchem,"Bombesin receptor",receptor,,-1.6787386565054625,GPCR,,18,7,4261,157,,26.94034627316028,27092952|26590027|26030739|25517020|24349381|24092425|22249826|21908103|21729729|21060863|21042212|20943772|20736409|20438784|18240029|18029348|16754659|15634004|15528253|15149640|14574404|14507633|12569606|12477932|11112777|10828496|10810412|10679759|10545285|10544247|10454496|9632639|8822519|8813645|8806106|8782088|8732666|8392057|8391296|8253343|8018339|7838118|7723750|1655761
/idg/targets/Q99835,Q99835,SMO,"Smoothened homolog","G protein-coupled receptor that probably associates with the patched protein (PTCH) to transduce the hedgehog's proteins signal. Binding of sonic hedgehog (SHH) to its receptor patched is thought to prevent normal inhibition by patched of smoothened (SMO). Required for the accumulation of KIF7 and GLI3 in the cilia.",Tclin,"Class F frizzled-type","signaling molecule",,-1.1122903375253186,GPCR,,372,238,70141,388,,40.8278521600547,27437577|27002170|26655998|26317547|26261515|26130651|26126827|26124204|25944162|25854168|25785427|25759020|25759019|25306392|25173582|25023548|25008467|24859340|24469022|24393163|24277750|24148123|23915072|23636324|23599646|23533145|23508962|23448715|23379358|23349881|23348505|23341351|23334667|23098507|23063129|22901214|22864913|22535603|22486854|22253573|22231273|22114142|22072986|21931618|21757753|21338440|21210262|21177415|20937227|20819778|20603613|20561215|20215540|20067614|20050020|19730683|19726788|19592253|19564910|19473442|19453261|19432668|19401682|19351817|19304771|19237606|19056867|18543049|18502968|18359851|17884791|17850284|16945339|16867986|16804411|16344560|16339184|15618519|15489334|12773389|12690205|12499255|12477932|12241103|12192414|12165511|12123571|11748145|11278759|11042037|9811851|9799615|9764827|9628830|9581815|9422511|8906787|8898207
/idg/targets/Q9HC97,Q9HC97,GPR35,"G-protein coupled receptor 35","Acts as a receptor for kynurenic acid, an intermediate in the tryptophan metabolic pathway. The activity of this receptor is mediated by G-proteins that elicit calcium mobilization and inositol phosphate production through G(qi/o) proteins.",Tchem,"Class A rhodopsin like",receptor,,-1.7114829451921245,GPCR,,21,12,7596,159,,30.398766805760022,25489960|25411203|24699281|24347166|23128233|22821403|22820167|21297633|20919992|20599711|20361937|18271057|17940199|16754668|16344560|16341674|15815621|15489334|14965362|14702039|12477932|11017071|9479505|947955
/idg/targets/Q9Y2T6,Q9Y2T6,GPR55,"G-protein coupled receptor 55","May be involved in hyperalgesia associated with inflammatory and neuropathic pain (By similarity). Receptor for L-alpha-lysophosphatidylinositol (LPI). LPI induces Ca(2+) release from intracellular stores via the heterotrimeric G protein GNA13 and RHOA. Putative cannabinoid receptor. May play a role in bone physiology by regulating osteoclast number and function.",Tchem,"Class A rhodopsin like",receptor,,-2.0796726241253167,GPCR,,54,23,3635,119,,21.14518371831291,27215467|27109575|26436760|25989290|25970609|25889562|25869640|25545857|25344934|25233417|25048571|24972076|24942731|24652077|24602016|24274581|23639801|23603203|23220281|23161546|23151004|23108553|23063456|22990678|22831390|22820167|22751111|22674489|22589443|22454039|22433274|22285325|22179809|22027819|21964594|21907912|21718301|21603896|21601562|21557736|21537344|21534610|21467997|21464819|21447538|21367464|21324983|21233197|21220919|21104381|21079038|21072666|21057532|20838378|20818416|20735417|20649563|20649562|20628086|20590578|20549374|20506567|20370712|20359546|20346144|20298715|20166924|20136841|20117132|20051382|19913121|19805329|19723626|19647110|19589225|19335651|19306092|19286662|19285259|18845565|18757503|18577758|18445684|18263732|18240029|17906678|17876302|17876300|17767170|17765871|17704827|17704825|17676365|16611220|16434153|16318877|15489334|12477932|9931487
/idg/targets/Q9Y2T5,Q9Y2T5,GPR52,"Probable G-protein coupled receptor 52","Orphan receptor.",Tchem,Purinoceptor,receptor,,-0.43874819038842044,GPCR,,1,,1781,184,,12.891578941552199,25738228|16710414|16344560|15489334|12477932|9931487
/idg/targets/Q9HBW0,Q9HBW0,LPAR2,"Lysophosphatidic acid receptor 2","Receptor for lysophosphatidic acid (LPA), a mediator of diverse cellular activities. Seems to be coupled to the G(i)/G(o), G(12)/G(13), and G(q) families of heteromeric G proteins. Plays a key role in phospholipase C-beta (PLC-beta) signaling pathway. Stimulates phospholipase C (PLC) activity in a manner that is independent of RALA activation.",Tchem,"Lysophospholipid (LPA) receptor",receptor,,-1.9649667114094518,GPCR,,59,50,14243,249,,31.56120405719661,26327335|25463482|24950964|24613836|24602016|24061591|23974872|23569130|23084965|22359512|21964883|21234797|21134377|20890765|19899077|19860625|19306925|19116446|19081821|19025891|19001604|18754873|18703779|17965021|17765657|17496233|16904289|16754659|16344560|16341674|16203867|15755723|15728708|15535846|15489334|15143197|15057824|14702039|14688263|12759391|12668280|12477932|12123830|11093753|11024010|10954727|10922489|10818441|10729222|10537322|9804623|9525886|2834384
/idg/targets/P25025,P25025,CXCR2,"C-X-C chemokine receptor type 2","Receptor for interleukin-8 which is a powerful neutrophil chemotactic factor. Binding of IL-8 to the receptor causes activation of neutrophils. This response is mediated via a G-protein that activates a phosphatidylinositol-calcium second messenger system. Binds to IL-8 with high affinity. Also binds with high affinity to CXCL3, GRO/MGSA and NAP-2.",Tchem,"Chemokine receptor","immunoglobulin receptor superfamily",,-2.8406012638861227,GPCR,,421,256,57672,536,,39.51810213510026,26648969|26559818|26521741|26519257|26503598|26364720|26302999|26297794|26287498|26267317|26231560|26188847|26111149|26087179|26060478|26058729|26038959|25837197|25794662|25757087|25682075|25622052|25620445|25580640|25484064|25484047|25480945|25462858|25456886|25412626|25349304|25339290|25172501|25022956|24989774|24972913|24946112|24883303|24777453|24768637|24736615|24678812|24642259|24593195|24582495|24510965|24462138|24450359|24430363|24376747|24339979|24338377|24332572|24161763|23972657|23912333|23869868|23758411|23727325|23615182|23597562|23548249|23479735|23470693|23403077|23389772|23293110|23204236|23128233|23052840|23029099|23023221|22986777|22904195|22893608|22885102|22850671|22763101|22763041|22661400|22626766|22617157|22482416|22389383|22325052|22274915|22242662|22231733|22203670|22171941|22152684|22117410|22088968|22076427|21989491|21948388|21915051|21876773|21749879|21670971|21555225|21441140|21343381|21297633|21214373|21106938|21042230|21036625|20802378|20673868|20635912|20630874|20628086|20580690|20568250|20540789|20519647|20505188|20503287|20485444|20468071|20453000|20452482|20438785|20429924|20419088|20406964|20237496|20140262|20089160|20070156|20056178|20044480|20018298|20016852|20016196|20005738|19913121|19904283|19890050|19887480|19773279|19750480|19634663|19585580|19573080|19549892|19435811|19435808|19423540|19401689|19258923|19170196|19155217|19151925|19147552|19118103|19067586|19057948|19035451|19026125|19012493|19010874|18852457|18780829|18755694|18676870|18633131|18577758|18555777|18462836|18307412|18292390|18244953|18240029|18208820|18199703|18025257|17996233|17949231|17939034|17709521|17703412|17672867|17630697|17604950|17435771|17360650|17295203|17272812|17204468|17142783|17003486|16990258|16987681|16897191|16793206|16702372|16679868|16621978|16411061|16406804|16344560|16272353|16260092|16098254|16086366|15946947|15793866|15772681|15630732|15626158|15618253|15598788|15545821|15489334|15479720|15454487|15364949|15358660|15265017|15063762|15028716|15004234|14967163|14713106|12975484|12888558|12870115|12633567|12628493|12620646|12606476|12496258|12477932|12453441|12442335|12239185|12176324|12164325|11818437|11751889|11524231|11435493|11397869|11278485|11196695|11170396|11138777|11023990|11007922|10943863|10881932|10878382|10820279|10734056|10725748|10688807|10593335|10438939|9843397|9725262|9692902|9651375|9464567|9260277|9079638|9058825|8940121|8702798|8662698|8626516|8550564|8384312|8316840|8294449|8195702|8194768|8036519|7929358|7829970|7512557|2834384|1891716|1840701|1427896|1379593|1303245
