"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","ChemblClass","Novelty","Target Family","Function","GrantCount","R01Count","PatentCount","AntibodyCount","PubmedCount","PMIDs"
/idg/targets/Q13507,Q13507,TRPC3,"Short transient receptor potential channel 3","Thought to form a receptor-activated non-selective calcium permeant cation channel. Probably is operated by a phosphatidylinositol second messenger system activated by receptor tyrosine kinases or G-protein coupled receptors. Activated by diacylglycerol (DAG) in a membrane-delimited fashion, independently of protein kinase C, and by inositol 1,4,5-triphosphate receptors (ITPR) with bound IP3. May also be activated by internal calcium store depletion.",Tchem,"TRPC3 sub-subfamily","ion channel",,-2.434074298539117,"Ion Channel",,151,78,10872,184,,37.51242014795195,26215710|26108359|25870279|25533457|25477146|25213992|24905090|24453217|23938296|23899746|23800762|23776229|23682725|23580589|22960861|22566504|22566418|22438881|22306362|22207762|21957871|21931279|21802402|21757714|21603869|21321808|21215279|21062895|20728215|20677014|20360250|20190514|20190513|20190511|20179100|20095964|19812035|19749484|19464259|19447651|19417689|19287093|19260825|19168035|19151765|19136933|19074769|19052171|19043047|19032951|18787184|18755685|18700317|18602918|18478545|18436303|18431718|18276585|18262493|18215135|18177730|17967814|17850865|17569672|17360584|17258231|17217051|17023658|16537542|16529812|16484216|16448384|16407161|16382100|16331690|15972814|15834157|15815621|15766521|15757897|15744307|15728370|15654973|15647288|15623527|15489334|15358862|15327778|15271991|15199065|15104175|14983059|14736881|14505576|12970363|12857742|12736256|12736151|12730194|12700192|12606542|12477932|12377790|12356946|12032305|11524429|10611319|9930701|9853757|9535843|9417057|9368034|9215637|8646775|7568191
/idg/targets/Q9Y3Q4,Q9Y3Q4,HCN4,"Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4","Hyperpolarization-activated ion channel with very slow activation and inactivation exhibiting weak selectivity for potassium over sodium ions. Contributes to the native pacemaker currents in heart (If) that regulate the rhythm of heart beat. May contribute to the native pacemaker currents in neurons (Ih). May mediate responses to sour stimuli.",Tclin,"Cyclic nucleotide-gated cation channel family","cyclic nucleotide-gated ion channel",,-2.4622199302422056,"Ion Channel",,11,9,5277,121,,33.04364099060736,26206080|26005035|25944904|25145518|25145517|25144323|24878962|24607718|24569893|24492017|23974038|23623143|23583979|23311301|23103389|23075627|22748890|22683190|22613709|22544366|22006928|21615589|21529705|21372143|20829353|20662977|20628086|20207172|20179882|19913121|19796353|19748888|19570998|19471099|19238754|19165230|18383475|18375593|18162181|17977941|17646576|17474147|16777944|16484306|16407510|16382102|16079136|15687126|15342556|15123648|14724293|14720471|14657344|12928435|12856183|12813043|12750403|12194012|11675786|10430953|10228147|8889548
/idg/targets/Q9UI33,Q9UI33,SCN11A,"Sodium channel protein type 11 subunit alpha","This protein mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which sodium ions may pass in accordance with their electrochemical gradient. It is a tetrodotoxin-resistant sodium channel isoform. Also involved, with the contribution of the receptor tyrosine kinase NTRK2, in rapid BDNF-evoked neuronal depolarization.",Tclin,"Nav1.9/SCN11A subfamily","voltage-gated calcium channel",,-2.442241437202269,"Ion Channel",,25,22,11281,56,,30.844922371452427,27224030|26746779|26645915|25791876|24776970|24564958|24207120|24144460|24036948|21857998|19056867|16641997|16382098|15302875|12536125|12384689|11144347|10623608|10580103|10444332
/idg/targets/P28472,P28472,GABRB3,"Gamma-aminobutyric acid receptor subunit beta-3","Component of the heteropentameric receptor for GABA, the major inhibitory neurotransmitter in the vertebrate brain. Functions also as histamine receptor and mediates cellular responses to histamine. Functions as receptor for diazepines and various anesthetics, such as pentobarbital; these are bound at a separate allosteric effector binding site. Functions as ligand-gated chloride channel.",Tclin,"GABRB3 sub-subfamily","ligand-gated ion channel",,-2.1105772722833986,"Ion Channel",,30,26,2715,161,,43.31237252733254,26950270|25211390|25086038|25025424|24909990|24865167|24755890|24722188|24709693|24249596|24199598|23677991|23438326|22812221|22414661|22303015|22243422|22080424|21908847|20843900|20834067|20634891|20550555|20468064|20379614|20308251|19937600|19935738|19874574|19736351|19734545|19717274|19598235|19430570|19268543|19086053|19078961|19058789|18978678|18837046|18821008|18650446|18514161|18452349|18358985|18281286|18085588|17957331|17880575|17471287|17339270|17326191|17272867|17230033|17225872|17215107|17124266|16835263|16712791|16674551|16572171|16344560|16080114|16023997|15767729|15615769|15489334|15337300|15318112|15296817|15066703|15028279|14724252|14702039|14503638|12973656|12640458|12595241|12491987|12477932|12367595|12225856|12189488|12048673|11711165|11140838|11085308|10515160|10514831|10023064|9328477|9126483|9039914|8389098|8382702|8175718|8136833|1714232|1664410|1346439
/idg/targets/P28476,P28476,GABRR2,"Gamma-aminobutyric acid receptor subunit rho-2","GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel. Rho-2 GABA receptor could play a role in retinal neurotransmission.",Tchem,"GABRR2 sub-subfamily","ligand-gated ion channel",,-1.7353469569144846,"Ion Channel",,,,1150,80,,29.669263449745156,26922432|26327143|24935901|24113126|21420396|20889312|20820800|20583128|20557420|20468064|20222955|19536785|19167917|19086053|19078961|18653317|17913586|16344560|16080114|15489334|14574404|12660236|12477932|12431995|12175859|11331372|11102469|10851258|10542332|9839716|9585594|9153229|1315307
/idg/targets/Q14721,Q14721,KCNB1,"Potassium voltage-gated channel subfamily B member 1","Voltage-gated potassium channel that mediates transmembrane potassium transport in excitable membranes, primarily in the brain, but also in the pancreas and cardiovascular system. Contributes to the regulation of the action potential (AP) repolarization, duration and frequency of repetitive AP firing in neurons, muscle cells and endocrine cells and plays a role in homeostatic attenuation of electrical excitability throughout the brain (PubMed:23161216). Plays also a role in the regulation of exocytosis independently of its electrical function (By similarity). Forms tetrameric potassium-selective channels through which potassium ions pass in accordance with their electrochemical gradient. The channel alternates between opened and closed conformations in response to the voltage difference across the membrane. Homotetrameric channels mediate a delayed-rectifier voltage-dependent outward potassium current that display rapid activation and slow inactivation in response to membrane depolarization (PubMed:8081723, PubMed:1283219, PubMed:10484328, PubMed:12560340, PubMed:19074135, PubMed:19717558, PubMed:24901643). Can form functional homotetrameric and heterotetrameric channels that contain variable proportions of KCNB2; channel properties depend on the type of alpha subunits that are part of the channel (By similarity). Can also form functional heterotetrameric channels with other alpha subunits that are non-conducting when expressed alone, such as KCNF1, KCNG1, KCNG3, KCNG4, KCNH1, KCNH2, KCNS1, KCNS2, KCNS3 and KCNV1, creating a functionally diverse range of channel complexes (PubMed:10484328, PubMed:11852086, PubMed:12060745, PubMed:19074135, PubMed:19717558, PubMed:24901643). Heterotetrameric channel activity formed with KCNS3 show increased current amplitude with the threshold for action potential activation shifted towards more negative values in hypoxic-treated pulmonary artery smooth muscle cells (By similarity). Channel properties are also modulated by cytoplasmic ancillary beta subunits such as AMIGO1, KCNE1, KCNE2 and KCNE3, slowing activation and inactivation rate of the delayed rectifier potassium channels (By similarity). In vivo, membranes probably contain a mixture of heteromeric potassium channel complexes, making it difficult to assign currents observed in intact tissues to any particular potassium channel family member. Major contributor to the slowly inactivating delayed-rectifier voltage-gated potassium current in neurons of the central nervous system, sympathetic ganglion neurons, neuroendocrine cells, pancreatic beta cells, cardiomyocytes and smooth muscle cells. Mediates the major part of the somatodendritic delayed-rectifier potassium current in hippocampal and cortical pyramidal neurons and sympathetic superior cervical ganglion (CGC) neurons that acts to slow down periods of firing, especially during high frequency stimulation. Plays a role in the induction of long-term potentiation (LTP) of neuron excitability in the CA3 layer of the hippocampus (By similarity). Contributes to the regulation of glucose-induced action potential amplitude and duration in pancreatic beta cells, hence limiting calcium influx and insulin secretion (PubMed:23161216). Plays a role in the regulation of resting membrane potential and contraction in hypoxia-treated pulmonary artery smooth muscle cells. May contribute to the regulation of the duration of both the action potential of cardiomyocytes and the heart ventricular repolarization QT interval. Contributes to the pronounced pro-apoptotic potassium current surge during neuronal apoptotic cell death in response to oxidative injury. May confer neuroprotection in response to hypoxia/ischemic insults by suppressing pyramidal neurons hyperexcitability in hippocampal and cortical regions (By similarity). Promotes trafficking of KCNG3, KCNH1 and KCNH2 to the cell surface membrane, presumably by forming heterotetrameric channels with these subunits (PubMed:12060745). Plays a role in the calcium-dependent recruitment and release of fusion-competent vesicles from the soma of neurons, neuroendocrine and glucose-induced pancreatic beta cells by binding key components of the fusion machinery in a pore-independent manner (By similarity).",Tclin,"Kv2.1/KCNB1 sub-subfamily","voltage-gated potassium channel",,-2.5525985217832643,"Ion Channel",,131,98,4428,349,,40.75256546833626,26505474|26503721|26487174|26477325|26377690|26303499|26242757|26240432|25908859|25164438|25056061|24901643|24597762|24477962|23431371|23251661|23161216|22560931|22442077|22411134|22106938|21455829|21095721|20709754|20566856|20547671|20379614|19717558|19717445|19454037|19357235|19265782|19223394|19074135|18690023|18212012|16880266|16382104|16008572|15858231|15827117|15353504|15024041|14988243|14702039|14565763|12615930|12560340|12477932|12403834|12060745|12021261|11852086|11780052|10921884|10551266|10484328|10414301|9362476|8980147|8670833|8081723|7774931|1283219
/idg/targets/P39086,P39086,GRIK1,"Glutamate receptor ionotropic, kainate 1","Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L-glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of bound agonist. May be involved in the transmission of light information from the retina to the hypothalamus.",Tclin,"GRIK1 subfamily","ionotropic glutamate receptor",,-2.4317583696249296,"Ion Channel",,43,15,72571,201,,43.42216011178198,26289945|26277340|25941919|24978347|24786948|24525690|24024966|23685007|23453885|22931243|22807686|22730074|22446040|22191429|20978832|20859245|20848601|20602751|20494980|20453000|20379614|20339536|20201926|19941835|19893199|19874574|19342380|19331489|19320626|19095219|19086053|18821565|18519826|17903305|17698324|16221857|15974569|14527949|12597860|12477932|11943148|11891216|11702055|11418862|10830953|10828597|10580501|10023812|9808458|9335499|9259378|9069287|8589992|8468067|8419920|8260617|8163463|7696618
/idg/targets/Q9HBA0,Q9HBA0,TRPV4,"Transient receptor potential cation channel subfamily V member 4","Non-selective calcium permeant cation channel involved in osmotic sensitivity and mechanosensitivity. Activation by exposure to hypotonicity within the physiological range exhibits an outward rectification (PubMed:18826956, PubMed:18695040). Also activated by heat, low pH, citrate and phorbol esters (PubMed:18826956, PubMed:18695040). Increase of intracellular Ca(2+) potentiates currents. Channel activity seems to be regulated by a calmodulin-dependent mechanism with a negative feedback mechanism (PubMed:12724311, PubMed:18826956). Promotes cell-cell junction formation in skin keratinocytes and plays an important role in the formation and/or maintenance of functional intercellular barriers (By similarity). Acts as a regulator of intracellular Ca(2+) in synoviocytes (PubMed:19759329). Plays an obligatory role as a molecular component in the nonselective cation channel activation induced by 4-alpha-phorbol 12,13-didecanoate and hypotonic stimulation in synoviocytes and also regulates production of IL-8 (PubMed:19759329). Together with PKD2, forms mechano- and thermosensitive channels in cilium (PubMed:18695040). Negatively regulates expression of PPARGC1A, UCP1, oxidative metabolism and respiration in adipocytes (By similarity). Regulates expression of chemokines and cytokines related to proinflammatory pathway in adipocytes (By similarity). Together with AQP5, controls regulatory volume decrease in salivary epithelial cells (By similarity).",Tchem,"TRPV4 sub-subfamily","ion channel",,-2.808783802778945,"Ion Channel",,236,129,81382,248,,44.05591566196411,26475857|26358221|26330151|26294342|26289129|26259779|26249260|26222277|26170305|26146187|26110311|26019339|25933715|25911511|25900305|25878251|25737550|25647731|25559845|25511389|25449039|25333484|25301060|25256292|25143588|25118282|25114176|24911002|24868547|24789864|24789205|24695993|24643128|24577120|24559391|24509911|24440740|24206072|24084385|23999312|23964684|23690576|23333822|23306656|23288842|23143559|23136043|23108102|23086916|23049542|22882778|22851605|22814746|22791502|22702953|22689561|22689196|22675077|22617546|22526352|22374181|22328087|22327830|22300296|22187434|22140047|22101010|21996372|21964829|21964574|21685934|21658220|21573172|21506114|21493730|21454511|21339821|21336783|21288981|21262839|21245013|21115951|20888819|20650893|20639579|20605796|20577006|20503319|20460441|20425821|20399209|20392266|20190511|20043876|20037588|20037587|20037586|19759329|19749483|19701771|19666518|19661060|19359599|19279160|19232556|19066426|19033444|19027987|18983665|18845910|18826956|18787888|18695040|18682435|18587396|18552442|18458941|18378772|18355916|18343379|18307101|18305162|18284852|18174177|17932042|17521436|17374521|17233610|17217058|16627472|16537379|16403833|16382100|16368742|16344560|16293632|15753126|15489334|15489228|15075247|14517216|12724311|12692122|12538589|12477932|12354759|12093812|12077606|11827975|11160995|11094154|11081638|11025659|10717675|10463355
/idg/targets/Q14722,Q14722,KCNAB1,"Voltage-gated potassium channel subunit beta-1","Cytoplasmic potassium channel subunit that modulates the characteristics of the channel-forming alpha-subunits (PubMed:7499366, PubMed:7603988, PubMed:17156368,PubMed:17540341, PubMed:19713757). Modulates action potentials via its effect on the pore-forming alpha subunits (By similarity). Promotes expression of the pore-forming alpha subunits at the cell membrane, and thereby increases channel activity (By similarity). Mediates closure of delayed rectifier potassium channels by physically obstructing the pore via its N-terminal domain and increases the speed of channel closure for other family members (PubMed:9763623). Promotes the closure of KCNA1, KCNA2 and KCNA5 channels (PubMed:7499366, PubMed:7890032, PubMed:7603988, PubMed:7649300, PubMed:8938711, PubMed:12077175, PubMed:12130714, PubMed:15361858, PubMed:17540341, PubMed:19713757). Accelerates KCNA4 channel closure (PubMed:7890032, PubMed:7649300, PubMed:7890764, PubMed:9763623). Accelerates the closure of heteromeric channels formed by KCNA1 and KCNA4 (PubMed:17156368). Accelerates the closure of heteromeric channels formed by KCNA2, KCNA5 and KCNA6 (By similarity). Isoform KvB1.2 has no effect on KCNA1, KCNA2 or KCNB1 (PubMed:7890032, PubMed:7890764). Enhances KCNB1 and KCNB2 channel activity (By similarity). Binds NADPH; this is required for efficient down-regulation of potassium channel activity (PubMed:17540341). Has NADPH-dependent aldoketoreductase activity (By similarity). Oxidation of the bound NADPH strongly decreases N-type inactivation of potassium channel activity (By similarity).",Tchem,"Voltage-gated potassium channel -subunit (kv) family","voltage-gated potassium channel",,-1.7337753612409446,"Ion Channel",,29,27,1214,225,,39.110391395132574,24951543|24946104|21333500|20800603|20379614|19713757|18987637|17913586|17903295|17540341|17207965|17156368|16344560|15489334|15361858|14702039|14592966|12477932|12130714|12077175|11401852|10756096|9857044|9763623|9341123|8938711|8838324|8636142|8001150|7890764|7890032|7649300|7603988|7499366
/idg/targets/Q12791,Q12791,KCNMA1,"Calcium-activated potassium channel subunit alpha-1","Potassium channel activated by both membrane depolarization or increase in cytosolic Ca(2+) that mediates export of K(+). It is also activated by the concentration of cytosolic Mg(2+). Its activation dampens the excitatory events that elevate the cytosolic Ca(2+) concentration and/or depolarize the cell membrane. It therefore contributes to repolarization of the membrane potential. Plays a key role in controlling excitability in a number of systems, such as regulation of the contraction of smooth muscle, the tuning of hair cells in the cochlea, regulation of transmitter release, and innate immunity. In smooth muscles, its activation by high level of Ca(2+), caused by ryanodine receptors in the sarcoplasmic reticulum, regulates the membrane potential. In cochlea cells, its number and kinetic properties partly determine the characteristic frequency of each hair cell and thereby helps to establish a tonotopic map. Kinetics of KCNMA1 channels are determined by alternative splicing, phosphorylation status and its combination with modulating beta subunits. Highly sensitive to both iberiotoxin (IbTx) and charybdotoxin (CTX).",Tclin,"KCa1.1/KCNMA1 sub-subfamily","voltage-gated potassium channel",,-3.0834934128848444,"Ion Channel",,350,222,36302,213,,48.723655644747055,26390131|26247146|26009545|25796627|25511389|25345746|25201988|25108383|25070892|24954895|24759175|24705869|24696148|24602615|24569989|24476761|24414257|24375290|24260325|24137539|24127525|24067659|23992640|23831469|23626738|23508624|23376485|23267835|23237801|23232643|22899999|22896041|22710124|22547800|22538239|22504420|22474334|22446331|22399288|22331907|22194818|22140451|22074915|21757754|21724437|21708048|21670298|21613417|21413024|21301863|21078868|21072171|20959415|20808839|20693285|20677014|20630939|20624858|20613726|20574420|20508092|20479001|20457834|20430843|20427280|20424473|20400778|20379614|20051533|20037152|20012488|19738431|19718020|19640305|19617704|19552602|19482008|19456106|19430934|19344525|19204046|19168436|19118164|19096717|19052171|18854754|18719396|18559348|18480178|18458941|18414909|18404672|18385281|18367663|18345016|18316727|18227273|18180950|18162557|18084004|17989352|17901123|17706472|17591990|17591987|17586600|17521822|17483867|17468961|17166942|17150299|17146446|16951373|16895996|16790810|16396928|16385451|16382103|16100257|16042390|15937479|15849354|15703204|15528406|15489334|15280542|15194822|15164054|14715246|14702039|14631046|14584897|14523450|14522958|12566537|12477932|12438308|12434576|12391293|12388065|12223479|12161564|12009018|11986367|11880513|11880485|11641143|11604135|11401860|11245614|10840032|10692449|10489376|10097176|9829973|9391153|8962157|8821792|8612769|8006036|7993625|7987297|7877450|7687074|7573516
