"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","ChemblClass","Novelty","Target Family","Function","GrantCount","R01Count","PatentCount","AntibodyCount","PubmedCount","PMIDs"
/idg/targets/P17612,P17612,PRKACA,"cAMP-dependent protein kinase catalytic subunit alpha","Phosphorylates a large number of substrates in the cytoplasm and the nucleus. Regulates the abundance of compartmentalized pools of its regulatory subunits through phosphorylation of PJA2 which binds and ubiquitinates these subunits, leading to their subsequent proteolysis. Phosphorylates CDC25B, ABL1, NFKB1, CLDN3, PSMC5/RPT6, PJA2, RYR2, RORA and VASP. RORA is activated by phosphorylation. Required for glucose-mediated adipogenic differentiation increase and osteogenic differentiation inhibition from osteoblasts. Involved in the regulation of platelets in response to thrombin and collagen; maintains circulating platelets in a resting state by phosphorylating proteins in numerous platelet inhibitory pathways when in complex with NF-kappa-B (NFKB1 and NFKB2) and I-kappa-B-alpha (NFKBIA), but thrombin and collagen disrupt these complexes and free active PRKACA stimulates platelets and leads to platelet aggregation by phosphorylating VASP. Prevents the antiproliferative and anti-invasive effects of alpha-difluoromethylornithine in breast cancer cells when activated. RYR2 channel activity is potentiated by phosphorylation in presence of luminal Ca(2+), leading to reduced amplitude and increased frequency of store overload-induced Ca(2+) release (SOICR) characterized by an increased rate of Ca(2+) release and propagation velocity of spontaneous Ca(2+) waves, despite reduced wave amplitude and resting cytosolic Ca(2+). PSMC5/RPT6 activation by phosphorylation stimulates proteasome. Negatively regulates tight junctions (TJs) in ovarian cancer cells via CLDN3 phosphorylation. NFKB1 phosphorylation promotes NF-kappa-B p50-p50 DNA binding. Involved in embryonic development by down-regulating the Hedgehog (Hh) signaling pathway that determines embryo pattern formation and morphogenesis. Prevents meiosis resumption in prophase-arrested oocytes via CDC25B inactivation by phosphorylation. May also regulate rapid eye movement (REM) sleep in the pedunculopontine tegmental (PPT). Phosphorylates APOBEC3G and AICDA. Isoform 2 phosphorylates and activates ABL1 in sperm flagellum to promote spermatozoa capacitation.",Tchem,"PKA family",,,-1.024035875204753,Kinase,,10,,4564,274,,57.48481586302953,27107012|26978032|26701869|26669444|26505878|26496610|26435498|26387949|26358293|26258546|26052940|25951193|25944712|25913012|25807930|25775607|25750087|25653177|25575591|25557953|25477193|25449630|25255805|25225481|25213315|25188285|25109834|25069672|25057884|25037568|24909179|24860872|24855271|24813785|24747643|24733293|24700472|24627100|24605759|24578576|24571724|24464040|24389246|24351927|24344931|24275569|24192058|24140250|24037441|24028560|23942052|23806656|23797058|23602568|23533145|23507255|23504319|23455922|23410945|23376485|23341462|23245330|23220172|23074279|22926037|22908311|22797923|22750392|22728165|22669896|22609331|22561749|22553202|22504716|22479536|22452847|22433860|22384111|22363678|22360420|22272352|22132070|21957496|21835884|21812984|21774789|21630459|21559296|21536683|21514275|21461565|21423175|21399614|21367856|21357689|21269460|21209912|21098703|21085490|21075212|20849292|20732331|20716686|20664056|20501673|20484458|20481595|20356841|20209159|20159975|20137943|20045463|19965870|19949837|19923321|19920112|19808666|19789307|19755416|19711044|19692500|19690332|19667072|19647741|19618297|19573263|19483721|19403523|19383776|19369195|19368997|19264843|19210988|19197368|19018281|18953413|18836454|18728186|18691976|18660489|18505929|18490653|18451148|18451138|18421013|18385332|18338250|18215420|18178622|18064650|17975022|17959673|17911601|17909264|17908236|17895245|17895239|17884635|17693412|17646929|17594903|17581860|17565987|17553808|17545677|17353931|17344846|17333334|17317104|17296605|17192257|17151273|17081983|17068197|17053039|17043752|17008315|16966355|16920702|16793902|16765046|16751804|16642035|16621795|16601239|16476742|16462731|16407073|16387847|16302972|16301320|16179339|16166624|15975931|15914039|15905176|15843433|15703181|15655353|15642694|15632203|15630084|15569306|15546918|15489334|15371306|15345747|15212956|15096524|15024086|15016832|14997482|14981079|14724137|14709557|14702039|14701748|14641008|14636580|14597563|14576165|14532276|14500710|12954600|12950172|12947093|12938160|12931191|12927815|12917345|12853467|12852856|12851456|12842892|12819195|12773393|12721358|12697024|12654918|12639913|12630910|12628924|12626323|12578970|12574812|12569367|12538592|12534294|12529267|12509440|12477932|12475942|12469130|12459461|12441002|12435421|12417592|12399457|12392720|12387894|12372837|12369791|12237306|12221128|12213813|12196520|12175859|12167624|12154078|12147701|12089143|12054501|11997508|11997388|11986331|11971957|11953308|11903055|11895474|11884598|11853558|11834733|11805122|11799117|11751901|11749387|11744745|11696326|11694504|11604405|11551945|11533025|11510412|11500364|11443111|11438671|11416140|11359875|11336675|11331285|11311121|11297520|11283605|11279195|11278469|11181841|11181701|11181181|11171059|11158305|11158204|11104762|11076968|11050185|11039908|11035810|11029056|11027313|10982398|10969067|10949026|10922374|10906071|10898738|10880354|10874031|10851246|10841548|10837486|10837251|10830164|10805756|10753751|10739259|10737616|10728420|10698939|10667577|10653665|10604473|10601328|10576742|10571231|10559944|10454575|10446213|10400690|10366608|10228048|10090741|10051666|9891036|9867809|9832145|9771888|9735171|9730685|9724719|9722526|9710607|9679146|9677319|9671211|9660950|9565682|9546672|9525956|9468536|9417067|9407077|9405392|9374536|9366517|9353289|9341190|9278385|9247274|9199504|9155020|9151826|9150141|9126608|9115213|9109552|9099667|9091312|9050991|9030586|9029147|8999860|8939981|8884279|8816779|8810272|8664319|8663994|8663227|8626720|8626492|8612821|8521865|8506364|8404858|8395513|8390988|8380342|8376365|8248197|8226875|8182057|8163498|8132598|8117614|8058338|8027074|8002936|7946090|7929424|7905001|7876254|7822264|7790358|7759492|7706316|7688126|7615546|7566346|7525582|7520867|6262777|4092695|3759968|2874140|2843813|2833520|2722853|2548572|2504723|2500966|2413024|2394752|2369897|2176601|2165385|2155236|2117608|2114109|2108025|1978848|1706595|1545828|1406653|1377674|1375933|1375229|1322130|1281154|221492|33381
/idg/targets/Q9BRS2,Q9BRS2,RIOK1,"Serine/threonine-protein kinase RIO1",,Tchem,"RIO1 subfamily",,,-0.7283537770268419,Kinase,,,,1257,142,,33.20924818354314,25852190|24948609|23459592|23186163|22072790|21406692|21269460|21081503|20068231|19690332|19413330|18669648|17974005|16183636|15489334|15324660|14702039|12477932|12384809
/idg/targets/Q9Y4K4,Q9Y4K4,MAP4K5,"Mitogen-activated protein kinase kinase kinase kinase 5","May play a role in the response to environmental stress. Appears to act upstream of the JUN N-terminal pathway.",Tchem,"KHS subfamily",,,-1.760724551664895,Kinase,,3,,7150,0,,41.94012206250563,27023625|24925725|24347629|24275569|23186163|21706016|20936779|20125193|19608861|19380743|18029348|17474147|17344846|17192257|16699725|15489334|15146197|14702039|12591926|12477932|10648385|10490605|10477597|9949177|9788432|9038372|8274451
/idg/targets/Q9UIK4,Q9UIK4,DAPK2,"Death-associated protein kinase 2","Isoform 2 is not regulated by calmodulin. It can phosphorylate MYL9. It can induce membrane blebbing and autophagic cell death.",Tchem,"DAPK family",,,-1.3579978190540023,Kinase,,196,139,7449,383,,35.62199842713928,26483415|26047703|26038578|25982274|25741596|25416956|25361081|24163421|24038216|23700042|23186163|22160140|21408167|19221469|18957423|18669648|18521079|17347302|17344846|17081983|16756490|16572171|15761153|15489334|14702039|12477932|12445458|12087472|11980920|11839665|11230133|10629061|10376525
/idg/targets/Q99759,Q99759,MAP3K3,"Mitogen-activated protein kinase kinase kinase 3","Component of a protein kinase signal transduction cascade. Mediates activation of the NF-kappa-B, AP1 and DDIT3 transcriptional regulators.",Tchem,"STE11 family",,,-1.7030269646016825,Kinase,,64,44,7681,162,,46.934238806713594,27027284|26997451|26304632|26088427|25824786|25728774|25429064|25388155|25241761|25043814|25040987|24975362|24418622|24383423|23186163|22105580|22021425|21998595|20628086|20615764|20495538|20448038|20068038|19913121|19903815|19690332|19560753|19369195|19265138|18691976|18391951|18308725|17985933|17974005|17344846|16737960|16625196|16407301|16381901|16260783|16039990|15572679|15489336|15489334|15146197|15047705|15001576|14743216|14702039|14662759|14661019|12912994|12761501|12761204|12477932|12392720|12391307|12065326|11429546|11256614|11230166|11076863|11073940|10700190|10593883|9452471|9006902|8889548|8125298
/idg/targets/P27037,P27037,ACVR2A,"Activin receptor type-2A","On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for activin A, activin B and inhibin A. Mediates induction of adipogenesis by GDF6 (By similarity).",Tchem,"STKR Type 2 subfamily","serine/threonine protein kinase receptor",,-2.04308708549917,Kinase,,93,47,21545,269,,42.29189772826274,26677222|26086422|26047946|25659497|25499008|23633461|23263486|22949641|22848350|22723898|22528352|22296042|22085900|22001236|21976273|21490791|21378277|21353880|21248752|20886391|20801928|20734064|20634197|20424473|20379614|20339536|20200332|20197483|20011542|19574343|19503063|19386982|19366699|19308291|19126782|19064572|18941508|18781190|18436533|18326817|18001154|17472960|17456004|17356069|17344846|17258738|16672363|16461635|16380996|16344560|16337854|15815621|15621726|15489334|15451561|14988818|14738881|14702039|14691305|12667445|12665502|12651901|12477932|12385827|12213882|12135884|12032389|11969340|11882656|11266516|11069203|10746731|10702675|10681527|10638976|10504300|10323406|10187774|9872992|9748228|9032295|8971337|8889549|8889548|8721982|8702914|8640777|8622651|8612709|8358434|8243335|8242742|7890768|1646080|1314589|1311955
/idg/targets/Q9Y463,Q9Y463,DYRK1B,"Dual specificity tyrosine-phosphorylation-regulated kinase 1B","Dual-specificity kinase which possesses both serine/threonine and tyrosine kinase activities. Enhances the transcriptional activity of TCF1/HNF1A and FOXO1. Inhibits epithelial cell migration. Mediates colon carcinoma cell survival in mitogen-poor environments. Inhibits the SHH and WNT1 pathways, thereby enhancing adipogenesis. In addition, promotes expression of the gluconeogenic enzyme glucose-6-phosphatase (G6PC).",Tchem,"Dyrk1 subfamily","protein kinase",,-1.6008510362899597,Kinase,,8,5,3127,239,,40.7914812879525,26346493|25777618|25696812|24827035|24590896|24134204|23602568|23114871|22998443|22918246|22159921|21878655|20940704|20857490|20512148|20042639|19633423|19542220|19351855|18818203|18029348|17671193|17344846|17046823|16845176|16618736|16257974|15851482|15546868|15489334|15144186|15057824|14593110|14500717|12633499|12477932|12455049|12384504|11980910|10910078|9918863|9748265
/idg/targets/Q86V86,Q86V86,PIM3,"Serine/threonine-protein kinase pim-3","Proto-oncogene with serine/threonine kinase activity that can prevent apoptosis, promote cell survival and protein translation. May contribute to tumorigenesis through: the delivery of survival signaling through phosphorylation of BAD which induces release of the anti-apoptotic protein Bcl-X(L), the regulation of cell cycle progression, protein synthesis and by regulation of MYC transcriptional activity. Additionally to this role on tumorigenesis, can also negatively regulate insulin secretion by inhibiting the activation of MAPK1/3 (ERK1/2), through SOCS6. Involved also in the control of energy metabolism and regulation of AMPK activity in modulating MYC and PPARGC1A protein levels and cell growth.",Tchem,"PIM family","serine/threonine protein kinase receptor",,-1.8508323281062273,Kinase,,5,,10072,78,,33.1653165273131,27016481|26551340|26238203|26075720|25921139|25817345|25238262|24927181|24799066|24789328|24723452|24488669|24165482|23845873|23760491|23209281|22282239|21870113|21668797|21646687|21297633|21187426|20939820|20101231|19624871|19266083|19154409|18593906|17876606|17270021|16818649|16403219|16141072|15540201|15489334|15199164|12798037|12477932|12473674|10713710|10591208
/idg/targets/P05771,P05771,PRKCB,"Protein kinase C beta type","Calcium-activated, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase involved in various cellular processes such as regulation of the B-cell receptor (BCR) signalosome, oxidative stress-induced apoptosis, androgen receptor-dependent transcription regulation, insulin signaling and endothelial cells proliferation. Plays a key role in B-cell activation by regulating BCR-induced NF-kappa-B activation. Mediates the activation of the canonical NF-kappa-B pathway (NFKB1) by direct phosphorylation of CARD11/CARMA1 at 'Ser-559', 'Ser-644' and 'Ser-652'. Phosphorylation induces CARD11/CARMA1 association with lipid rafts and recruitment of the BCL10-MALT1 complex as well as MAP3K7/TAK1, which then activates IKK complex, resulting in nuclear translocation and activation of NFKB1. Plays a direct role in the negative feedback regulation of the BCR signaling, by down-modulating BTK function via direct phosphorylation of BTK at 'Ser-180', which results in the alteration of BTK plasma membrane localization and in turn inhibition of BTK activity. Involved in apoptosis following oxidative damage: in case of oxidative conditions, specifically phosphorylates 'Ser-36' of isoform p66Shc of SHC1, leading to mitochondrial accumulation of p66Shc, where p66Shc acts as a reactive oxygen species producer. Acts as a coactivator of androgen receptor (ANDR)-dependent transcription, by being recruited to ANDR target genes and specifically mediating phosphorylation of 'Thr-6' of histone H3 (H3T6ph), a specific tag for epigenetic transcriptional activation that prevents demethylation of histone H3 'Lys-4' (H3K4me) by LSD1/KDM1A. In insulin signaling, may function downstream of IRS1 in muscle cells and mediate insulin-dependent DNA synthesis through the RAF1-MAPK/ERK signaling cascade. May participate in the regulation of glucose transport in adipocytes by negatively modulating the insulin-stimulated translocation of the glucose transporter SLC2A4/GLUT4. Under high glucose in pancreatic beta-cells, is probably involved in the inhibition of the insulin gene transcription, via regulation of MYC expression. In endothelial cells, activation of PRKCB induces increased phosphorylation of RB1, increased VEGFA-induced cell proliferation, and inhibits PI3K/AKT-dependent nitric oxide synthase (NOS3/eNOS) regulation by insulin, which causes endothelial dysfunction. Also involved in triglyceride homeostasis (By similarity). Phosphorylates ATF2 which promotes cooperation between ATF2 and JUN, activating transcription.",Tchem,"PKC alpha subfamily","transfer/carrier protein",,-1.9791516524953126,Kinase,,172,126,10807,530,,53.87326436270017,26545496|26540567|26459836|26439941|26343587|26121314|26008233|25982096|25927959|25882844|25869503|25852190|25828882|25815500|25693686|25548371|24936444|24722289|24721208|24682423|24600048|24550541|24440741|24406113|24401212|24378530|24316392|24275569|24039784|23977398|23974215|23963366|23960082|23905995|23695799|23617822|23562913|23458603|23439007|23337848|23328482|23280626|23204109|23186163|23128233|23042805|22930730|22833470|22670899|22633971|22479367|22446963|22322241|22197823|22162761|22016563|21997316|21817106|21525390|21467074|21323641|21269460|21134959|21044950|20846475|20736472|20628086|20618341|20534587|20522523|20511681|20458337|20442744|20439192|20379614|20346360|20228790|20186491|20179100|20164467|20141354|20099025|20015121|19966859|19949911|19913121|19907441|19895572|19887445|19693767|19681907|19573263|19369195|19295663|19277684|19176525|19168795|19112601|19091746|18981301|18937679|18768137|18714023|18701509|18637128|18557705|18497307|18472156|18440851|18323529|18317465|18303026|18292183|18278479|18172602|18167130|18162471|18162466|18088087|18067888|17991733|17950644|17936705|17926183|17846295|17719638|17625596|17545677|17455194|17344846|17227757|17192257|17167344|17133356|17115692|17115053|17003377|16930534|16854530|16831865|16775601|16673150|16626305|16574993|16574992|16567829|16517978|16472601|16430878|16356855|16331690|16236825|16224561|16111671|16103100|16102725|16080189|16055064|16027742|16000408|15917249|15894802|15880462|15741241|15716278|15647851|15632189|15611095|15591231|15546881|15499829|15489334|15488737|15384959|15381704|15327405|15322124|15252133|15188402|15090600|15067001|15037605|14702039|14699138|14654845|14654844|14623273|14602581|14594954|14561740|14527960|12958364|12950453|12917261|12874455|12766174|12765965|12730099|12724308|12682249|12679936|12665801|12618484|12569090|12551925|12519779|12509514|12482669|12477932|12456365|12435880|12417015|12391145|12356761|12167592|12149258|12147342|12134071|12118249|12093536|12080070|12070292|12056906|12054501|12033257|11930178|11919157|11901153|11884598|11833470|11805327|11781100|11765038|11749387|11700305|11598012|11502742|11376011|11325528|11306676|11283022|11278415|11278382|11179083|11154208|11145703|11123317|11120743|11120522|11063746|11044099|11035810|11003709|10871288|10862698|10856305|10843712|10828076|10542228|10531036|10502411|10493829|10490850|10480917|10433554|10194441|9856494|9814702|9765207|9694886|9677319|9671211|9475183|9446795|9296367|9244383|9052983|9030777|9021343|8964400|8940188|8940095|8914829|8899875|8898866|8824244|8749392|8694767|8662663|8631738|8627654|8626698|8557118|8327493|8163551|8089108|8080473|8034726|8034666|7961692|7880442|7876254|7716516|7693453|7588787|7499337|3755548|3677994|3666134|3658678|2757032|2182321|2140056|1714454|1611098|1556124|1400396|1324914|1321150
/idg/targets/Q99683,Q99683,MAP3K5,"Mitogen-activated protein kinase kinase kinase 5","Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway. Plays an important role in the cascades of cellular responses evoked by changes in the environment. Mediates signaling for determination of cell fate such as differentiation and survival. Plays a crucial role in the apoptosis signal transduction pathway through mitochondria-dependent caspase activation. MAP3K5/ASK1 is required for the innate immune response, which is essential for host defense against a wide range of pathogens. Mediates signal transduction of various stressors like oxidative stress as well as by receptor-mediated inflammatory signals, such as the tumor necrosis factor (TNF) or lipopolysaccharide (LPS). Once activated, acts as an upstream activator of the MKK/JNK signal transduction cascade and the p38 MAPK signal transduction cascade through the phosphorylation and activation of several MAP kinase kinases like MAP2K4/SEK1, MAP2K3/MKK3, MAP2K6/MKK6 and MAP2K7/MKK7. These MAP2Ks in turn activate p38 MAPKs and c-jun N-terminal kinases (JNKs). Both p38 MAPK and JNKs control the transcription factors activator protein-1 (AP-1).",Tchem,"STE11 family","protein kinase",,-2.610887097807737,Kinase,,318,259,19893,1104,,55.80094569784042,27045525|26773495|26707143|26694167|26661061|26243192|26191261|26165383|26134265|26095851|25982447|25901786|25852190|25797626|25752609|25391652|25241761|25135476|25116390|25068797|24912301|24574456|24448648|24275569|24082073|24008424|23982205|23799149|23744074|23580093|23569274|23556445|23416061|23319048|23219526|23186163|23102700|23087182|23031789|23015639|23000344|22925655|22723553|22609355|22399290|22197930|22167179|22095282|21771788|21764682|21738216|21725208|21594902|21510938|21496457|21383696|21378396|21187402|20800594|20674765|20661259|20628086|20609399|20601186|20512919|20430109|20379614|20364819|20358250|20213747|20185809|20130137|20048146|20035634|19961619|19940360|19935702|19920149|19913121|19903888|19880523|19782076|19749799|19748889|19590015|19570911|19389260|19369195|19351724|19306926|19293155|19287004|19004820|19001375|18948261|18841476|18822283|18759454|18669648|18501712|18408005|18380010|18327563|18292600|18219322|18211888|18178252|18088087|18054391|18028450|17937911|17883330|17827388|17724081|17652454|17595347|17543279|17541429|17456047|17389591|17344846|17331470|17325029|17292829|17244475|17220297|17210579|16648474|16644673|16636664|16532036|16515547|16512785|16476732|16449798|16407264|16316999|16129676|16049941|16038411|15983381|15925322|15866172|15864780|15843568|15782121|15755722|15701637|15670787|15489334|15328343|15310755|15246877|15218033|15210709|15094778|15023544|14761963|14749717|14702039|14688258|14668338|14574404|12968034|12912994|12819028|12813029|12697749|12566458|12556535|12543931|12482984|12477932|12473108|12391142|12372597|12244106|12189133|12089063|12077134|12050113|11959862|11920685|11689443|11495919|11493600|11427728|11416155|11356842|11336675|11298454|11278289|11154276|11096076|11090355|11029458|11003656|10921914|10849426|10734135|10688666|10523862|10411906|9875215|9774977|9743501|9651337|9564042|9465908|8974401|8940179
